repeated_times,Accuracy,Precision,Recall,F1,AUC,CV_list(AUC)
10,0.8586206896551725,0.7052124400422273,0.8477424611192648,0.7351279752749944,0.8477424611192645,"[0.8878205128205129, 0.8339622641509434, 0.8962264150943396, 0.7546296296296297, 0.8081232492997199, 0.7467948717948717, 0.9083333333333332, 0.9245283018867925, 0.9509803921568628, 0.766025641025641]"
10,0.8586206896551725,0.7048313583579541,0.8477236074239404,0.7347542323802141,0.8477236074239404,"[0.8878205128205129, 0.8339622641509434, 0.8962264150943396, 0.7546296296296297, 0.8081232492997199, 0.7467948717948717, 0.9083333333333332, 0.9245283018867925, 0.9411764705882353, 0.7756410256410255]"
10,0.8465517241379311,0.6972289889706771,0.8556737305065552,0.7254626272200188,0.8556737305065552,"[0.8878205128205129, 0.8245283018867925, 0.8962264150943396, 0.7546296296296297, 0.8081232492997199, 0.7467948717948717, 0.8979166666666667, 0.9150943396226415, 0.9313725490196079, 0.8942307692307692]"
10,0.8586206896551725,0.7064068782486915,0.8550341277859314,0.7376370308756444,0.8550341277859314,"[0.8878205128205129, 0.8339622641509434, 0.8962264150943396, 0.7546296296296297, 0.8081232492997199, 0.7467948717948717, 0.8979166666666667, 0.9245283018867925, 0.9509803921568628, 0.8493589743589745]"
10,0.8620689655172413,0.709759555161151,0.8553525240123465,0.7414771963623343,0.8553525240123465,"[0.8878205128205129, 0.8339622641509434, 0.8056603773584906, 0.7546296296296297, 0.8081232492997199, 0.7467948717948717, 0.9083333333333332, 0.9245283018867925, 0.9509803921568628, 0.9326923076923077]"
